GENERACION,POBLACION,MUTACION,CRUCE,max fit,mean fit,max fit,mean fit,max fit,mean fit,max fit,mean fit
100.0,150.0,0.65,0.8,561.0,381.98066666666665,566.0,376.30146666666667,561.0,370.8433333333334,562.0,370.55753333333325
100.0,150.0,0.65,0.95,561.0,383.0116666666667,566.0,376.3016666666666,561.0,368.2536666666667,562.0,375.12746666666663
100.0,200.0,0.4,0.7,550.0,405.05845,566.0,445.81719999999996,561.0,440.4666,562.0,444.33705000000003
100.0,200.0,0.4,0.8,556.0,413.7858000000001,566.0,442.3191999999999,561.0,442.85235,562.0,444.73594999999995
100.0,200.0,0.4,0.95,556.0,430.33859999999993,566.0,444.4209,561.0,440.62385,562.0,446.68055
100.0,200.0,0.5,0.7,556.0,403.1664,566.0,416.69620000000003,561.0,410.89369999999985,562.0,415.85965
100.0,200.0,0.5,0.8,556.0,400.2111,566.0,418.2315000000001,561.0,413.45024999999987,562.0,418.10065
100.0,200.0,0.5,0.95,556.0,401.67730000000006,566.0,417.80760000000004,561.0,409.6749,562.0,410.3345
100.0,200.0,0.65,0.7,556.0,364.78295,566.0,377.3363499999999,561.0,368.58799999999997,562.0,380.8409
100.0,200.0,0.65,0.8,556.0,357.0168,566.0,373.9577499999999,561.0,372.4491,562.0,381.7815000000001
100.0,200.0,0.65,0.95,564.0,365.06895,566.0,370.3556,561.0,367.18159999999995,562.0,378.93339999999995
150.0,100.0,0.4,0.7,564.0,440.1202,566.0,448.1893333333333,562.0,432.53266666666667,562.0,448.362
150.0,100.0,0.4,0.8,564.0,439.45079999999996,566.0,447.35906666666676,562.0,444.44919999999996,562.0,444.92940000000004
150.0,100.0,0.4,0.95,564.0,444.9572,566.0,449.7982666666666,562.0,444.0917333333333,562.0,448.2712666666667
150.0,100.0,0.5,0.7,564.0,417.06533333333334,566.0,420.23920000000004,562.0,417.3151333333333,562.0,417.24420000000003
150.0,100.0,0.5,0.8,564.0,419.62800000000004,566.0,420.33000000000004,562.0,419.60686666666663,562.0,422.4875333333334
150.0,100.0,0.5,0.95,564.0,417.64826666666664,566.0,420.9314,562.0,412.17013333333324,562.0,420.70453333333336
150.0,100.0,0.65,0.7,564.0,371.6646666666666,566.0,382.3611333333333,562.0,365.38486666666665,562.0,383.0081333333333
150.0,100.0,0.65,0.8,564.0,371.7642666666667,566.0,384.7488,562.0,372.95293333333336,562.0,373.8374666666666
150.0,100.0,0.65,0.95,564.0,377.88486666666665,566.0,380.60206666666664,563.0,373.52313333333336,562.0,378.22093333333333
